code,name,symbol,quantity
L63,slug per day,slug/d,periodic & related phenomena
L64,slug per foot second,slug/(ft·s),periodic & related phenomena
L65,slug per cubic foot,slug/ft³,periodic & related phenomena
L66,slug per hour,slug/h,periodic & related phenomena
L67,slug per minute,slug/min,periodic & related phenomena
L68,slug per second,slug/s,periodic & related phenomena
L69,tonne per kelvin,t/K,periodic & related phenomena
L70,tonne per bar,t/bar,periodic & related phenomena
L71,tonne per day,t/d,periodic & related phenomena
L72,tonne per day kelvin,(t/d)/K,periodic & related phenomena
L73,tonne per day bar,(t/d)/bar,periodic & related phenomena
L74,tonne per hour kelvin,(t/h)/K,periodic & related phenomena
L75,tonne per hour bar,(t/h)/bar,periodic & related phenomena
L76,tonne per cubic metre kelvin,(t/m³)/K,periodic & related phenomena
L77,tonne per cubic metre bar,(t/m³)/bar,periodic & related phenomena
L78,tonne per minute,t/min,periodic & related phenomena
L79,tonne per minute kelvin,(t/min)/K,periodic & related phenomena
L80,tonne per minute bar,(t/min)/bar,periodic & related phenomena
L81,tonne per second,t/s,periodic & related phenomena
L82,tonne per second kelvin,(t/s)/K,periodic & related phenomena
L83,tonne per second bar,(t/s)/bar,periodic & related phenomena
L84,ton (UK shipping),British shipping ton,periodic & related phenomena
L85,ton long per day,ton (UK)/d,periodic & related phenomena
L86,ton (US shipping),(US) shipping ton,periodic & related phenomena
L87,ton short per degree Fahrenheit,ton (US)/°F,periodic & related phenomena
L88,ton short per day,ton (US)/d,periodic & related phenomena
L89,ton short per hour degree Fahrenheit,ton (US)/(h·°F),periodic & related phenomena
L90,ton short per hour psi,(ton (US)/h)/psi,periodic & related phenomena
L91,ton short per psi,ton (US)/psi,periodic & related phenomena
L92,ton (UK long) per cubic yard,ton.l/yd³ (UK),periodic & related phenomena
L93,ton (US short) per cubic yard,ton.s/yd³ (US),periodic & related phenomena
L94,ton-force (US short),ton.sh-force,periodic & related phenomena
L95,common year,y (365 days),periodic & related phenomena
L96,sidereal year,y (sidereal),periodic & related phenomena
L98,yard per degree Fahrenheit,yd/°F,periodic & related phenomena
L99,yard per psi,yd/psi,periodic & related phenomena
LA,pound per cubic inch,lb/in³,periodic & related phenomena
LAC,lactose excess percentage,,mechanics
LBR,pound,lb,periodic & related phenomena
LBT,troy pound (US),,mechanics
LD,litre per day,l/d,space & time
LEF,leaf,,mechanics
LF,linear foot,,mechanics
LH,labour hour,,mechanics
LK,link,,mechanics
LM,linear metre,,mechanics
LN,length,,mechanics
LO,lot [unit of procurement],,mechanics
LP,liquid pound,,mechanics
LPA,litre of pure alcohol,,mechanics
LR,layer,,mechanics
LS,lump sum,,mechanics
LTN,ton (UK) or long ton (US),ton (UK),periodic & related phenomena
LTR,litre,l,space & time
LUB,"metric ton, lubricating oil",,mechanics
LUM,lumen,lm,space & time
LUX,lux,lx,space & time
LY,linear yard,,mechanics
M1,milligram per litre,mg/l,space & time
M10,reciprocal cubic yard,1/yd³,periodic & related phenomena
M11,cubic yard per degree Fahrenheit,yd³/°F,periodic & related phenomena
M12,cubic yard per day,yd³/d,periodic & related phenomena
M13,cubic yard per hour,yd³/h,periodic & related phenomena
M14,cubic yard per psi,yd³/psi,periodic & related phenomena
M15,cubic yard per minute,yd³/min,periodic & related phenomena
M16,cubic yard per second,yd³/s,periodic & related phenomena
M17,kilohertz metre,kHz·m,periodic & related phenomena
M18,gigahertz metre,GHz·m,periodic & related phenomena
M19,Beaufort,Bft,mechanics
M20,reciprocal megakelvin or megakelvin to the power minus one,1/MK,periodic & related phenomena
M21,reciprocal kilovolt - ampere reciprocal hour,1/kVAh,periodic & related phenomena
M22,millilitre per square centimetre minute,(ml/min)/cm²,periodic & related phenomena
M23,newton per centimetre,N/cm,space & time
M24,ohm kilometre,Ω·km,space & time
M25,percent per degree Celsius,%/°C,mechanics
M26,gigaohm per metre,GΩ/m,periodic & related phenomena
M27,megahertz metre,MHz·m,periodic & related phenomena
M29,kilogram per kilogram,kg/kg,space & time
M30,reciprocal volt - ampere reciprocal second,1/(V·A·s),space & time
M31,kilogram per kilometre,kg/km,space & time
M32,pascal second per litre,Pa·s/l,periodic & related phenomena
M33,millimole per litre,mmol/l,space & time
M34,newton metre per square metre,N·m/m²,space & time
M35,millivolt - ampere,mV·A,space & time
M36,30-day month,mo (30 days),mechanics
M37,actual/360,y (360 days),mechanics
M38,kilometre per second squared,km/s²,space & time
M39,centimetre per second squared,cm/s²,space & time
M4,monetary value,,mechanics
M40,yard per second squared,yd/s²,periodic & related phenomena
M41,millimetre per second squared,mm/s²,space & time
M42,mile (statute mile) per second squared,mi/s²,periodic & related phenomena
M43,mil,mil,periodic & related phenomena
M44,revolution,rev,periodic & related phenomena
M45,degree [unit of angle] per second squared,°/s²,space & time
M46,revolution per minute,r/min,periodic & related phenomena
M47,circular mil,cmil,periodic & related phenomena
M48,square mile (based on U.S. survey foot),mi² (US survey),periodic & related phenomena
M49,chain (based on U.S. survey foot),ch (US survey),periodic & related phenomena
M5,microcurie,µCi,periodic & related phenomena
M50,furlong,fur,periodic & related phenomena
M51,foot (U.S. survey),ft (US survey),periodic & related phenomena
M52,mile (based on U.S. survey foot),mi (US survey),periodic & related phenomena
M53,metre per pascal,m/Pa,space & time
M55,metre per radiant,m/rad,space & time
M56,shake,shake,periodic & related phenomena
M57,mile per minute,mi/min,periodic & related phenomena
M58,mile per second,mi/s,periodic & related phenomena
M59,metre per second pascal,(m/s)/Pa,space & time
M60,metre per hour,m/h,periodic & related phenomena
M61,inch per year,in/y,periodic & related phenomena
M62,kilometre per second,km/s,periodic & related phenomena
M63,inch per minute,in/min,periodic & related phenomena
M64,yard per second,yd/s,periodic & related phenomena
M65,yard per minute,yd/min,periodic & related phenomena
M66,yard per hour,yd/h,periodic & related phenomena
M67,acre-foot (based on U.S. survey foot),acre-ft (US survey),periodic & related phenomena
M68,cord (128 ft3),cord,periodic & related phenomena
M69,cubic mile (UK statute),mi³,periodic & related phenomena
M7,micro-inch,µin,periodic & related phenomena
M70,"ton, register",RT,periodic & related phenomena
M71,cubic metre per pascal,m³/Pa,space & time
M72,bel,B,space & time
M73,kilogram per cubic metre pascal,(kg/m³)/Pa,space & time
M74,kilogram per pascal,kg/Pa,periodic & related phenomena
M75,kilopound-force,kip,periodic & related phenomena
M76,poundal,pdl,periodic & related phenomena
M77,kilogram metre per second squared,kg·m/s²,periodic & related phenomena
M78,pond,p,periodic & related phenomena
M79,square foot per hour,ft²/h,periodic & related phenomena
M80,stokes per pascal,St/Pa,periodic & related phenomena
M81,square centimetre per second,cm²/s,periodic & related phenomena
M82,square metre per second pascal,(m²/s)/Pa,space & time
M83,denier,den,periodic & related phenomena
M84,pound per yard,lb/yd,periodic & related phenomena
M85,"ton, assay",,periodic & related phenomena
M86,pfund,pfd,periodic & related phenomena
M87,kilogram per second pascal,(kg/s)/Pa,space & time
M88,tonne per month,t/mo,periodic & related phenomena
M89,tonne per year,t/y,periodic & related phenomena
M9,million Btu per 1000 cubic foot,MBTU/kft³,mechanics
M90,kilopound per hour,klb/h,periodic & related phenomena
M91,pound per pound,lb/lb,periodic & related phenomena
M92,pound-force foot,lbf·ft,periodic & related phenomena
M93,newton metre per radian,N·m/rad,space & time
M94,kilogram metre,kg·m,space & time
M95,poundal foot,pdl·ft,periodic & related phenomena
M96,poundal inch,pdl·in,periodic & related phenomena
M97,dyne metre,dyn·m,periodic & related phenomena
M98,kilogram centimetre per second,kg·(cm/s),space & time
M99,gram centimetre per second,g·(cm/s),space & time
MAH,megavolt ampere reactive hour,Mvar·h,mechanics
MAL,megalitre,Ml,space & time
MAM,megametre,Mm,periodic & related phenomena
MAR,megavar,Mvar,space & time
MAW,megawatt,MW,space & time
MBE,thousand standard brick equivalent,,mechanics
MBF,thousand board foot,,mechanics
MBR,millibar,mbar,space & time
MC,microgram,µg,space & time
MCU,millicurie,mCi,periodic & related phenomena
MD,air dry metric ton,,mechanics
MGM,milligram,mg,space & time
MHZ,megahertz,MHz,space & time
MIK,square mile (statute mile),mi²,periodic & related phenomena
MIL,thousand,,mechanics
MIN,minute [unit of time],min,space & time
MIO,million,,mechanics
MIU,million international unit,,mechanics
MLD,milliard,,mechanics
MLT,millilitre,ml,space & time
MMK,square millimetre,mm²,space & time
MMQ,cubic millimetre,mm³,space & time
MMT,millimetre,mm,space & time
MND,"kilogram, dry weight",,mechanics
MON,month,mo,periodic & related phenomena
MPA,megapascal,MPa,space & time
MQH,cubic metre per hour,m³/h,space & time
MQS,cubic metre per second,m³/s,space & time
MSK,metre per second squared,m/s²,space & time
MTK,square metre,m²,space & time
MTQ,cubic metre,m³,space & time
MTR,metre,m,space & time
MTS,metre per second,m/s,space & time
MVA,megavolt - ampere,MV·A,space & time
MWH,megawatt hour (1000 kW.h),MW·h,space & time
N1,pen calorie,,mechanics
N10,pound foot per second,lb·(ft/s),periodic & related phenomena
N11,pound inch per second,lb·(in/s),periodic & related phenomena
N12,Pferdestaerke,PS,periodic & related phenomena
N13,centimetre of mercury (0 ºC),cmHg (0 ºC),periodic & related phenomena
N14,centimetre of water (4 ºC),cmH₂O (4 °C),periodic & related phenomena
N15,foot of water (39.2 ºF),"ftH₂O (39,2 ºF)",periodic & related phenomena
N16,inch of mercury (32 ºF),inHG (32 ºF),periodic & related phenomena
N17,inch of mercury (60 ºF),inHg (60 ºF),periodic & related phenomena
N18,inch of water (39.2 ºF),"inH₂O (39,2 ºF)",periodic & related phenomena
N19,inch of water (60 ºF),inH₂O (60 ºF),periodic & related phenomena
N20,kip per square inch,ksi,periodic & related phenomena
N21,poundal per square foot,pdl/ft²,periodic & related phenomena
N22,ounce (avoirdupois) per square inch,oz/in²,periodic & related phenomena
N23,conventional metre of water,mH₂O,periodic & related phenomena
N24,gram per square millimetre,g/mm²,periodic & related phenomena
N25,pound per square yard,lb/yd²,periodic & related phenomena
N26,poundal per square inch,pdl/in²,periodic & related phenomena
N27,foot to the fourth power,ft⁴,periodic & related phenomena
N28,cubic decimetre per kilogram,dm³/kg,space & time
N29,cubic foot per pound,ft³/lb,periodic & related phenomena
N3,print point,,mechanics
N30,cubic inch per pound,in³/lb,periodic & related phenomena
N31,kilonewton per metre,kN/m,space & time
N32,poundal per inch,pdl/in,periodic & related phenomena
N33,pound-force per yard,lbf/yd,periodic & related phenomena
N34,poundal second per square foot,(pdl/ft²)·s,periodic & related phenomena
N35,poise per pascal,P/Pa,periodic & related phenomena
N36,newton second per square metre,(N/m²)·s,space & time
N37,kilogram per metre second,kg/(m·s),space & time
N38,kilogram per metre minute,kg/(m·min),space & time
N39,kilogram per metre day,kg/(m·d),space & time
N40,kilogram per metre hour,kg/(m·h),space & time
N41,gram per centimetre second,g/(cm·s),space & time
N42,poundal second per square inch,(pdl/in²)·s,periodic & related phenomena
N43,pound per foot minute,lb/(ft·min),periodic & related phenomena
N44,pound per foot day,lb/(ft·d),periodic & related phenomena
N45,cubic metre per second pascal,(m³/s)/Pa,space & time
N46,foot poundal,ft·pdl,periodic & related phenomena
N47,inch poundal,in·pdl,periodic & related phenomena
N48,watt per square centimetre,W/cm²,periodic & related phenomena
N49,watt per square inch,W/in²,periodic & related phenomena
N50,British thermal unit (international table) per square foot hour,BtuIT/(ft²·h),periodic & related phenomena
N51,British thermal unit (thermochemical) per square foot hour,Btuth/(ft²·h),periodic & related phenomena
N52,British thermal unit (thermochemical) per square foot minute,Btuth/(ft²·min),periodic & related phenomena
N53,British thermal unit (international table) per square foot second,BtuIT/(ft²·s),periodic & related phenomena
N54,British thermal unit (thermochemical) per square foot second,Btuth/(ft²·s),periodic & related phenomena
N55,British thermal unit (international table) per square inch second,BtuIT/(in²·s),periodic & related phenomena
N56,calorie (thermochemical) per square centimetre minute,calth/(cm²·min),periodic & related phenomena
N57,calorie (thermochemical) per square centimetre second,calth/(cm²·s),periodic & related phenomena
N58,British thermal unit (international table) per cubic foot,BtuIT/ft³,periodic & related phenomena
N59,British thermal unit (thermochemical) per cubic foot,Btuth/ft³,periodic & related phenomena
N60,British thermal unit (international table) per degree Fahrenheit,BtuIT/ºF,periodic & related phenomena
N61,British thermal unit (thermochemical) per degree Fahrenheit,Btuth/ºF,periodic & related phenomena
N62,British thermal unit (international table) per degree Rankine,BtuIT/ºR,periodic & related phenomena
N63,British thermal unit (thermochemical) per degree Rankine,Btuth/ºR,periodic & related phenomena
N64,British thermal unit (thermochemical) per pound degree Rankine,(Btuth/°R)/lb,periodic & related phenomena
N65,kilocalorie (international table) per gram kelvin,(kcalIT/K)/g,periodic & related phenomena
N66,British thermal unit (39 ºF),Btu (39 ºF),periodic & related phenomena
N67,British thermal unit (59 ºF),Btu (59 ºF),periodic & related phenomena
N68,British thermal unit (60 ºF),Btu (60 ºF),periodic & related phenomena
N69,calorie (20 ºC),cal₂₀,periodic & related phenomena
N70,quad (1015 BtuIT),quad,periodic & related phenomena
N71,therm (EC),thm (EC),periodic & related phenomena
N72,therm (U.S.),thm (US),periodic & related phenomena
N73,British thermal unit (thermochemical) per pound,Btuth/lb,periodic & related phenomena
N74,British thermal unit (international table) per hour square foot degree Fahrenheit,BtuIT/(h·ft²·ºF),periodic & related phenomena
N75,British thermal unit (thermochemical) per hour square foot degree Fahrenheit,Btuth/(h·ft²·ºF),periodic & related phenomena
N76,British thermal unit (international table) per second square foot degree Fahrenheit,BtuIT/(s·ft²·ºF),periodic & related phenomena
N77,British thermal unit (thermochemical) per second square foot degree Fahrenheit,Btuth/(s·ft²·ºF),periodic & related phenomena
N78,kilowatt per square metre kelvin,kW/(m²·K),space & time
N79,kelvin per pascal,K/Pa,space & time
N80,watt per metre degree Celsius,W/(m·°C),space & time
N81,kilowatt per metre kelvin,kW/(m·K),space & time
N82,kilowatt per metre degree Celsius,kW/(m·°C),space & time
N83,metre per degree Celcius metre,m/(°C·m),periodic & related phenomena
N84,degree Fahrenheit hour per British thermal unit (international table),ºF/(BtuIT/h),periodic & related phenomena
N85,degree Fahrenheit hour per British thermal unit (thermochemical),ºF/(Btuth/h),periodic & related phenomena
N86,degree Fahrenheit second per British thermal unit (international table),ºF/(BtuIT/s),periodic & related phenomena
N87,degree Fahrenheit second per British thermal unit (thermochemical),ºF/(Btuth/s),periodic & related phenomena
N88,degree Fahrenheit hour square foot per British thermal unit (international table) inch,ºF·h·ft²/(BtuIT·in),periodic & related phenomena
N89,degree Fahrenheit hour square foot per British thermal unit (thermochemical) inch,ºF·h·ft²/(Btuth·in),periodic & related phenomena
N90,kilofarad,kF,space & time
N91,reciprocal joule,1/J,space & time
N92,picosiemens,pS,space & time
N93,ampere per pascal,A/Pa,space & time
N94,franklin,Fr,periodic & related phenomena
N95,ampere minute,A·min,space & time
N96,biot,Bi,periodic & related phenomena
N97,gilbert,Gi,periodic & related phenomena
N98,volt per pascal,V/Pa,space & time
N99,picovolt,pV,space & time
NA,milligram per kilogram,mg/kg,space & time
NAR,number of articles,,mechanics
NCL,number of cells,,mechanics
NEW,newton,N,space & time
NF,message,,mechanics
NIL,nil,(),mechanics
NIU,number of international units,,mechanics
NL,load,,mechanics
NM3,Normalised cubic metre,,periodic & related phenomena
NMI,nautical mile,n mile,space & time
NMP,number of packs,,mechanics
NPT,number of parts,,mechanics
NT,net ton,,mechanics
NU,newton metre,N·m,space & time
NX,part per thousand,‰,mechanics
OA,panel,,mechanics
ODE,ozone depletion equivalent,,mechanics
ODG,ODS Grams,,mechanics
ODK,ODS Kilograms,,mechanics
ODM,ODS Milligrams,,mechanics
OHM,ohm,Ω,space & time
ON,ounce per square yard,oz/yd²,periodic & related phenomena
ONZ,ounce (avoirdupois),oz,periodic & related phenomena
OPM,oscillations per minute,o/min,periodic & related phenomena
OT,overtime hour,,mechanics
OZA,fluid ounce (US),fl oz (US),periodic & related phenomena
OZI,fluid ounce (UK),fl oz (UK),periodic & related phenomena
P1,percent,% or pct,mechanics
P10,coulomb per metre,C/m,space & time
P11,kiloweber,kWb,space & time
P12,gamma,γ,periodic & related phenomena
P13,kilotesla,kT,space & time
P14,joule per second,J/s,space & time
P15,joule per minute,J/min,space & time
P16,joule per hour,J/h,space & time
P17,joule per day,J/d,space & time
P18,kilojoule per second,kJ/s,space & time
P19,kilojoule per minute,kJ/min,space & time
P2,pound per foot,lb/ft,periodic & related phenomena
P20,kilojoule per hour,kJ/h,space & time
P21,kilojoule per day,kJ/d,space & time
P22,nanoohm,nΩ,space & time
P23,ohm circular-mil per foot,Ω·cmil/ft,periodic & related phenomena
P24,kilohenry,kH,space & time
P25,lumen per square foot,lm/ft²,periodic & related phenomena
P26,phot,ph,periodic & related phenomena
P27,footcandle,ftc,periodic & related phenomena
P28,candela per square inch,cd/in²,periodic & related phenomena
P29,footlambert,ftL,periodic & related phenomena
P30,lambert,Lb,periodic & related phenomena
P31,stilb,sb,periodic & related phenomena
P32,candela per square foot,cd/ft²,periodic & related phenomena
P33,kilocandela,kcd,space & time
P34,millicandela,mcd,space & time
P35,Hefner-Kerze,HK,periodic & related phenomena
P36,international candle,IK,periodic & related phenomena
P37,British thermal unit (international table) per square foot,BtuIT/ft²,periodic & related phenomena
P38,British thermal unit (thermochemical) per square foot,Btuth/ft²,periodic & related phenomena
P39,calorie (thermochemical) per square centimetre,calth/cm²,periodic & related phenomena
P40,langley,Ly,periodic & related phenomena
P41,decade (logarithmic),dec,periodic & related phenomena
P42,pascal squared second,Pa²·s,space & time
P43,bel per metre,B/m,space & time
P44,pound mole,lbmol,periodic & related phenomena
P45,pound mole per second,lbmol/s,periodic & related phenomena
P46,pound mole per minute,lbmol/h,periodic & related phenomena
P47,kilomole per kilogram,kmol/kg,space & time
P48,pound mole per pound,lbmol/lb,periodic & related phenomena
P49,newton square metre per ampere,N·m²/A,space & time
P5,five pack,,mechanics
P50,weber metre,Wb·m,space & time
P51,mol per kilogram pascal,(mol/kg)/Pa,space & time
P52,mol per cubic metre pascal,(mol/m³)/Pa,space & time
P53,unit pole,unit pole,periodic & related phenomena
P54,milligray per second,mGy/s,space & time
P55,microgray per second,µGy/s,space & time
P56,nanogray per second,nGy/s,space & time
P57,gray per minute,Gy/min,space & time
P58,milligray per minute,mGy/min,space & time
P59,microgray per minute,µGy/min,space & time
P60,nanogray per minute,nGy/min,space & time
P61,gray per hour,Gy/h,space & time
P62,milligray per hour,mGy/h,space & time
P63,microgray per hour,µGy/h,space & time
P64,nanogray per hour,nGy/h,space & time
P65,sievert per second,Sv/s,periodic & related phenomena
P66,millisievert per second,mSv/s,periodic & related phenomena
P67,microsievert per second,µSv/s,periodic & related phenomena
P68,nanosievert per second,nSv/s,periodic & related phenomena
P69,rem per second,rem/s,periodic & related phenomena
P70,sievert per hour,Sv/h,periodic & related phenomena
P71,millisievert per hour,mSv/h,periodic & related phenomena
P72,microsievert per hour,µSv/h,periodic & related phenomena
P73,nanosievert per hour,nSv/h,periodic & related phenomena
P74,sievert per minute,Sv/min,periodic & related phenomena
P75,millisievert per minute,mSv/min,periodic & related phenomena
P76,microsievert per minute,µSv/min,periodic & related phenomena
P77,nanosievert per minute,nSv/min,periodic & related phenomena
P78,reciprocal square inch,1/in²,periodic & related phenomena
P79,pascal square metre per kilogram,Pa/(kg/m²),space & time
P80,millipascal per metre,mPa/m,space & time
P81,kilopascal per metre,kPa/m,space & time
P82,hectopascal per metre,hPa/m,space & time
P83,standard atmosphere per metre,Atm/m,periodic & related phenomena
P84,technical atmosphere per metre,at/m,periodic & related phenomena
P85,torr per metre,Torr/m,periodic & related phenomena
P86,psi per inch,psi/in,periodic & related phenomena
P87,cubic metre per second square metre,(m³/s)/m²,space & time
P88,rhe,rhe,mechanics
P89,pound-force foot per inch,lbf·ft/in,mechanics
P90,pound-force inch per inch,lbf·in/in,mechanics
P91,perm (0 ºC),perm (0 ºC),mechanics
P92,perm (23 ºC),perm (23 ºC),mechanics
P93,byte per second,byte/s,mechanics
P94,kilobyte per second,kbyte/s,mechanics
P95,megabyte per second,Mbyte/s,mechanics
P96,reciprocal volt,1/V,mechanics
P97,reciprocal radian,1/rad,mechanics
P98,pascal to the power sum of stoichiometric numbers,PaΣνB,mechanics
P99,mole per cubiv metre to the power sum of stoichiometric numbers,(mol/m³)∑νB,mechanics
PAL,pascal,Pa,space & time
PD,pad,,mechanics
PFL,proof litre,,mechanics
PGL,proof gallon,,mechanics
PI,pitch,,mechanics
PLA,degree Plato,°P,mechanics
PO,pound per inch of length,lb/in,periodic & related phenomena
PQ,page per inch,ppi,mechanics
PR,pair,,mechanics
PS,pound-force per square inch,lbf/in²,periodic & related phenomena
PTD,dry pint (US),dry pt (US),periodic & related phenomena
PTI,pint (UK),pt (UK),periodic & related phenomena
PTL,liquid pint (US),liq pt (US),periodic & related phenomena
PTN,portion,PTN,mechanics
Q10,joule per tesla,J/T,mechanics
Q11,erlang,E,mechanics
Q12,octet,o,mechanics
Q13,octet per second,o/s,mechanics
Q14,shannon,Sh,mechanics
Q15,hartley,Hart,mechanics
Q16,natural unit of information,nat,mechanics
Q17,shannon per second,Sh/s,mechanics
Q18,hartley per second,Hart/s,mechanics
Q19,natural unit of information per second,nat/s,mechanics
Q20,second per kilogramm,s/kg,mechanics
Q21,watt square metre,W·m²,mechanics
Q22,second per radian cubic metre,1/(Hz·rad·m³),mechanics
Q23,weber to the power minus one,1/Wb,mechanics
Q24,reciprocal inch,1/in,mechanics
Q25,dioptre,dpt,mechanics
Q26,one per one,1/1,mechanics
Q27,newton metre per metre,N·m/m²,mechanics
Q28,kilogram per square metre pascal second,kg/(m²·Pa·s),mechanics
Q29,microgram per hectogram,µg/hg,space & time
Q30,pH (potential of Hydrogen),pH,periodic & related phenomena
Q31,kilojoule per gram,kJ/g,space & time
Q32,femtolitre,fl,space & time
Q33,picolitre,pl,space & time
Q34,nanolitre,nl,space & time
Q35,megawatts per minute,MW/min,space & time
Q36,square metre per cubic metre,m2/m3,mechanics
Q37,Standard cubic metre per day,,periodic & related phenomena
Q38,Standard cubic metre per hour,,periodic & related phenomena
Q39,Normalized cubic metre per day,,periodic & related phenomena
Q40,Normalized cubic metre per hour,,periodic & related phenomena
Q41,Joule per normalised cubic metre,,periodic & related phenomena
Q42,Joule per standard cubic metre,,periodic & related phenomena
Q3,meal,,mechanics
QA,page - facsimile,,mechanics
QAN,quarter (of a year),,mechanics
QB,page - hardcopy,,mechanics
QR,quire,qr,mechanics
QTD,dry quart (US),dry qt (US),periodic & related phenomena
QTI,quart (UK),qt (UK),periodic & related phenomena
QTL,liquid quart (US),liq qt (US),periodic & related phenomena
QTR,quarter (UK),Qr (UK),mechanics
R1,pica,,mechanics
R9,thousand cubic metre,,mechanics
RH,running or operating hour,,mechanics
RM,ream,,mechanics
ROM,room,,mechanics
RP,pound per ream,,mechanics
RPM,revolutions per minute,r/min,space & time
RPS,revolutions per second,r/s,space & time
RT,revenue ton mile,,mechanics
S3,square foot per second,ft²/s,periodic & related phenomena
S4,square metre per second,m²/s,space & time
SAN,half year (6 months),,mechanics
SCO,score,,mechanics
SCR,scruple,,mechanics
SEC,second [unit of time],s,space & time
SET,set,,mechanics
SG,segment,,mechanics
SIE,siemens,S,space & time
SM3,Standard cubic metre,,periodic & related phenomena
SMI,mile (statute mile),mile,periodic & related phenomena
SQ,square,,mechanics
SQR,"square, roofing",,mechanics
SR,strip,,mechanics
STC,stick,,mechanics
STI,stone (UK),st,periodic & related phenomena
STK,"stick, cigarette",,mechanics
STL,standard litre,,mechanics
STN,ton (US) or short ton (UK/US),ton (US),periodic & related phenomena
STW,straw,,mechanics
SW,skein,,mechanics
SX,shipment,,mechanics
SYR,syringe,,mechanics
T0,telecommunication line in service,,mechanics
T3,thousand piece,,mechanics
TAH,kiloampere hour (thousand ampere hour),kA·h,space & time
TAN,total acid number,TAN,mechanics
TI,thousand square inch,,mechanics
TIC,"metric ton, including container",,mechanics
TIP,"metric ton, including inner packaging",,mechanics
TKM,tonne kilometre,t·km,mechanics
TMS,"kilogram of imported meat, less offal",,mechanics
TNE,tonne (metric ton),t,space & time
TP,ten pack,,mechanics
TPI,teeth per inch,TPI,mechanics
TPR,ten pair,,mechanics
TQD,thousand cubic metre per day,km³/d,mechanics
TRL,trillion (EUR),,mechanics
TST,ten set,,mechanics
TTS,ten thousand sticks,,mechanics
U1,treatment,,mechanics
U2,tablet,,mechanics
UB,telecommunication line in service average,,mechanics
UC,telecommunication port,,mechanics
VA,volt - ampere per kilogram,V·A / kg,mechanics
VLT,volt,V,space & time
VP,percent volume,,mechanics
W2,wet kilo,,mechanics
WA,watt per kilogram,W/kg,mechanics
WB,wet pound,,mechanics
WCD,cord,,mechanics
WE,wet ton,,mechanics
WEB,weber,Wb,space & time
WEE,week,wk,periodic & related phenomena
WG,wine gallon,,mechanics
WHR,watt hour,W·h,space & time
WM,working month,,mechanics
WSD,standard,std,mechanics
WTT,watt,W,space & time
X1,Gunter's chain,ch (UK),periodic & related phenomena
YDK,square yard,yd²,periodic & related phenomena
YDQ,cubic yard,yd³,periodic & related phenomena
YRD,yard,yd,periodic & related phenomena
Z11,hanging container,,mechanics
ZP,page,,mechanics
ZZ,mutually defined,,mechanics
MRW,Metre Week,m·wk,mechanics
MKW,Square Metre Week,m²· wk,mechanics
MQW,Cubic Metre Week,m³·wk,mechanics
HWE,Piece Week,piece·k,mechanics
MRD,Metre Day,m·day,mechanics
MKD,Square Metre Day,m²·d,mechanics
MQD,Cubic Metre Day,m³·d,mechanics
HAD,Piece Day,piece·d,mechanics
MRM,Metre Month,m·mo,mechanics
MKM,Square Metre Month,m²·mo,mechanics
MQM,Cubic Metre Month,m³·mo,mechanics
HMO,Piece Month,piece·mo,mechanics
DBW,Decibel watt,dBW,mechanics
DBM,Decibel-milliwatts,dBm,mechanics
FNU,Formazin nephelometric unit,FNU,mechanics
NTU,Nephelometric turbidity unit,NTU,mechanics
MTZ,millihertz,mHz,space & time
Z9,nanomole,nmol,space & time
